项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
活动,60835,大爱一心，小玩具大幸福——“爱心玩具”捐赠活动 ,筹集结束,11500,210,3,1,0.00,10,3,否,不确定,0,1,NOTFOUND,2014-06-21 00:00,10933,3,14
活动,60814,社区创业沙龙俱乐部一期,筹集成功,19000,19090,37,5,129.00,27,42,否,项目结束后1天发送回报,3,1,NOTFOUND,2014-07-16 00:00,162614,39,158
活动,60291,与食巨近，见多食广，沪上最有趣的白领DIY蛋糕交友派对,筹集结束,1050,150,1,1,0.00,16,6,否,不确定,0,1,NOTFOUND,2014-04-11 00:00,48899,1,1
活动,60212,【创意孵化平台】7788 Culture Creativity Cafe | 每天一杯咖啡，拥有一个属于自己的文化创意空间,筹集结束,153300,0,0,2,0.00,15,3,否,不确定,0,1,NOTFOUND,2014-04-02 00:00,11872,NOTFOUND,1
活动,60208,寻找1000个《指环王》读者的支持，帮我实现一个小小的心愿，共同分享书中的精灵面包兰巴斯,筹集成功,1000,1000,102,3,0.00,19,117,否,项目结束后30天发送回报,0,1,NOTFOUND,2014-04-02 00:00,107126,102,4
活动,60199,若此生不遇，则年华殆尽徒然，情何以堪，雷励中国贵州远征筹款,筹集结束,4500,50,1,5,0.00,11,2,是,不确定,0,1,NOTFOUND,2014-06-10 00:00,11182,1,4
活动,60202,零距离，壹起读： 互联网金融读书会 ,筹集成功,10000,10300,31,3,0.00,24,39,否,项目结束后50天发送回报,0,1,NOTFOUND,2014-04-10 00:00,63062,32,1
活动,60139,稻草人带你来一场私奔去月球的旅行！,筹集结束,10000,4065.6,21,5,0.00,17,23,是,项目结束后1天发送回报,1,1,NOTFOUND,2014-09-01 00:00,122489,21,30
活动,59998,一起去中国的最北端探险吧,筹集结束,5000,0,0,1,0.00,15,3,否,项目结束后20天发送回报,0,1,NOTFOUND,2014-02-06 00:00,8994,NOTFOUND,NOTFOUND
活动,59986,2014情人节情侣去死去死团，首次突袭作战计划火热招募中！,筹集成功,747.4,1943.24,109,9,0.00,27,139,是,项目结束后3天发送回报,1,1,NOTFOUND,2014-02-15 00:00,400786,109,1
活动,59975,青岛众筹创业沙龙,筹集成功,600,600,12,1,0.00,10,13,否,不确定,13,4,山东省青岛市,2014-01-24 00:00,16352,12,6
活动,59874,NOTFOUND,筹集结束,5000,1702,25,16,0.00,32,35,是,不确定,0,1,NOTFOUND,2014-03-20 00:00,172709,28,38
活动,59863,茄子剧场秀之《我的同事是极品》,筹集成功,20000,21200,7,9,0.00,38,8,是,不确定,0,1,NOTFOUND,2014-01-10 00:00,49734,8,NOTFOUND
活动,59833,《雅痞脱口秀》第二季，陈欢圆梦蓝唇之吻,筹集成功,24000,24220,49,5,0.00,20,56,是,项目结束后15天发送回报,0,1,NOTFOUND,2014-07-19 00:00,383950,49,113
