项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,梦想动态,是否制作视频,预计回报发送时间,发起人支持的项目数,发起人历史发起的项目次数,发起人所在地,项目结束时间,浏览次数,关注数,分享数
设计,67429,孤品  空前，一等半年,筹集结束,5000,465,6,9,5.00,67,11,否,项目结束后20天发送回报,0,2,NOTFOUND,2015-08-21 00:00,39791,11,5
设计,67343,SMA-BIT不只是手机壳,筹集结束,10000,0,0,6,99.00,30,0,否,项目结束后30天发送回报,0,1,NOTFOUND,2015-08-20 00:00,10587,3,1
设计,67112,BLOCKS 你专属猫咪乐园,筹集结束,5000,322,8,6,158.00,15,8,是,项目结束后20天发送回报,0,1,上海市市辖区,2015-08-27 00:00,38224,12,42
设计,66970,首家装修墙纸服务平台  O2O+墙纸+免费家居设计     ,筹集结束,38000,0,0,4,200.00,16,1,是,项目结束后38天发送回报,0,1,上海市市辖区,2015-08-02 00:00,11007,2,18
设计,66943,HandyPie——中学生公益创业项目,筹集结束,1099,9,1,4,9.00,25,1,是,项目结束后30天发送回报,1,1,浙江省杭州市,2015-07-16 00:00,11093,3,16
设计,66869,《免费送金丝楠乌木手串》二期,筹集成功,38888,42776,249,15,17.00,56,260,否,项目结束后20天发送回报,1,10,四川省成都市,2015-07-13 00:00,304971,409,651
设计,65418,有沉香相伴，人生从此与众不同,筹集结束,6000,0,0,5,480.00,23,0,否,项目结束后15天发送回报,0,1,上海市市辖区,2015-07-01 00:00,10895,6,4
设计,66558,道力干的高档手工皮具，（养）出自己心意的皮具！,筹集结束,1000,0,0,7,213.00,29,0,否,项目结束后20天发送回报,0,1,NOTFOUND,2015-06-14 00:00,11508,2,4
设计,66356,"【菩提物语】顿悟生命，豁然开朗,幸福简单的境界",筹集结束,5000,0,0,5,49.00,15,0,否,项目结束后7天发送回报,0,1,NOTFOUND,2015-07-01 00:00,11038,6,NOTFOUND
设计,63746,千年古音——古琴之美,筹集结束,6000,0,0,6,1800.00,57,0,是,不确定,0,1,NOTFOUND,2015-07-02 00:00,12795,4,5
设计,66383,90后原创品牌——“嘉焱精品”，小叶紫檀，为品质而生,筹集成功,2000,8871,37,7,99.00,41,43,否,项目结束后5天发送回报,0,2,福建省厦门市,2015-06-24 00:00,41314,44,25
设计,66489,何以解忧？魔性神烦狗DOGE抱枕带回家！,筹集结束,10000,200,7,6,89.00,30,7,否,项目结束后30天发送回报,0,1,NOTFOUND,2015-06-23 00:00,16392,7,12
设计,66346,唤醒每一颗童心 —— 建一家自己的客栈  享一段自由的光阴,筹集结束,100000,9376.75,54,9,9.90,28,56,否,项目结束后30天发送回报,0,1,北京市市辖区,2015-06-13 00:00,172337,111,190
设计,66232,遇见你  故事才刚刚开始,筹集结束,20000,0,0,3,16.00,17,0,否,项目结束后30天发送回报,0,1,陕西省西安市,2015-06-20 00:00,10854,1,NOTFOUND
设计,66300,一份私人订制的创意礼物——“FOR YOU予爱集”,筹集结束,5000,0,0,6,69.00,29,0,否,项目结束后20天发送回报,0,1,江苏省镇江市,2015-05-20 00:00,11029,2,1
设计,66018,木头人---为忙碌的你带来一份孝心,筹集结束,5000,2417,28,5,45.00,28,29,否,项目结束后20天发送回报,1,10,四川省成都市,2015-05-14 00:00,17528,35,5
设计,66160,《恰逢》给独一无二的你,筹集结束,5000,99,2,7,99.00,58,2,否,项目结束后10天发送回报,0,1,山东省青岛市,2015-05-19 00:00,12541,8,13
设计,65977,艺术台灯、私人定制艺术台灯,筹集结束,12600,0,0,4,39.00,26,0,否,项目结束后18天发送回报,0,1,NOTFOUND,2015-05-29 00:00,11223,1,1
设计,65984,木头人——响应你的号召，为你而来,筹集成功,20000,31503,391,18,17.00,51,409,否,项目结束后20天发送回报,1,10,四川省成都市,2015-05-10 00:00,116552,288,109
