项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,公告数,评论数,是否制作视频,预计回报发送时间,粉丝数,发起人支持的项目数,发起人历史发起的项目次数,支持次数,最低投资支持人数,发起人所在地,项目结束时间
家居生活,362461,萌猫网剧《大侠如风》圣诞限定礼，软萌又好吃,筹资成功,5000,6093,40,3,66.00,63,1,18,是,预计筹资结束后5天内,116,0,1,46,17,北京东城区,已经结束
家居生活,361184,笑匠创意荷花空气加湿器——秋至花还在，润物细无声。,筹资失败,30000,5856,62,7,75.00,52,2,17,否,预计筹资结束后20天内,104,0,1,63,41,广东深圳,已经结束
家居生活,359669,遇健智慧沙袋 无人机级别传感器 基于机器学习的动作评估算法,筹资失败,100000,5610,43,5,149.00,54,7,19,是,预计筹资结束后15天内,74,0,1,38,14,浙江绍兴,已经结束
家居生活,318764,用Android手机当大脑的无线智能安防一体机(专利产品),筹资成功,2000,5016,10,5,35.00,18,26,0,否,预计筹资结束后1天内,0,0,1,12,0,湖南长沙,已经结束
家居生活,325476,“爱可儿”机器人  视力守护神！,筹资成功,5000,5540,106,7,39.00,15,20,1,否,预计筹资结束后30天内,1,0,1,112,100,广东广州,已经结束
家居生活,343146,智能甲醛监测仪,筹资失败,10000,3992,8,4,499.00,22,6,0,否,预计筹资结束后30天内,0,1,1,8,8,上海闸北区,已经结束
家居生活,359603,小柒智能厨房机器人——能自动关火的厨房安全管家,筹资失败,20000,4226,54,6,25.00,69,2,41,否,预计筹资结束后30天内,104,0,1,71,30,NOTFOUND,已经结束
家居生活,341906,wifi智能中控锁套餐：带锁插座+丰富功能+DIY强大拓展,筹资失败,10000,3391,29,14,89.00,8,9,0,否,预计筹资结束后15天内,0,1,1,29,16,广东深圳,已经结束
家居生活,368321,机器织的已经那样美，你还要手织的干什么？,NOTFOUND,3000,3702,37,0,0.00,40,1,4,否,预计筹资结束后30天内,48,0,1,39,NOTFOUND,辽宁大连,已经结束
家居生活,359648,ISE智能炫彩灯光系统,筹资失败,20000,2975,48,9,29.00,60,4,24,是,预计筹资结束后15天内,80,0,2,65,20,广东深圳,已经结束
家居生活,345920,Seepet 远程监控宠物喂食器,筹资失败,10000,2796,3,4,699.00,9,7,1,否,预计筹资结束后10天内,1,0,1,4,4,江苏无锡,已经结束
家居生活,342954,HI-Couple智能性生活监测仪 ,筹资失败,10000,2709,21,6,129.00,6,12,0,否,预计筹资结束后45天内,1,0,1,21,21,广东佛山,已经结束
家居生活,360354,情·小白：最长情的陪伴，送给远方的TA,筹资失败,100000,1944,60,5,379.00,52,1,21,否,预计筹资结束后100天内,78,0,1,62,58,广东深圳,已经结束
家居生活,341932,爱瘦iMomo---世界最小的蓝牙脂体仪(能兑奖的瘦身神器),筹资失败,20000,1920,8,8,236.00,6,9,0,否,预计筹资结束后45天内,1,0,1,8,7,广东深圳,已经结束
家居生活,339396,活色声香—“Clara”,筹资失败,5000,1845,4,5,369.00,20,13,1,否,预计筹资结束后30天内,5,0,1,5,5,广东深圳,已经结束
家居生活,341875,z-home智能家居-让家随心而动,筹资失败,5000,1210,3,10,138.00,14,4,0,否,预计筹资结束后30天内,0,0,1,5,2,广东深圳,已经结束
家居生活,335123,JERRY智能控制平台,筹资失败,20000,1760,6,6,98.00,22,8,0,否,预计筹资结束后15天内,0,0,1,6,4,广东东莞,已经结束
家居生活,365928,一个真正能做出属于你味道的地方,筹资失败,100000,782,38,5,10.00,68,2,26,否,预计筹资结束后30天内,56,0,1,39,35,NOTFOUND,已经结束
家居生活,361883,‘采田’计划——传统蜡染手工产品,筹资失败,3000,392,6,4,20.00,49,3,11,否,预计筹资结束后40天内,88,0,1,6,2,贵州,已经结束
家居生活,339021,博力恒WIFI智能主机--Zigbee无线智能家居系统,筹资失败,200000,299,1,2,299.00,23,18,1,否,预计筹资结束后30天内,0,0,1,1,1,NOTFOUND,已经结束
家居生活,359542,Nectunt-C2智能茶几,筹资失败,50000,34,35,4,7600.00,56,1,38,是,预计筹资结束后30天内,68,0,1,34,34,上海嘉定区,已经结束
家居生活,367676,一款让您过目不忘相见恨晚的蚊帐,筹资失败,5000,0,0,9,498.00,44,1,3,否,预计筹资结束后40天内,2,0,2,0,0,北京海淀区,已经结束
家居生活,359777,我渴了智能厨房净水机,筹资失败,300000,0,0,0,0.00,42,1,11,否,NOTFOUND,70,0,1,0,NOTFOUND,上海,已经结束
家居生活,366243,大米众筹,筹资失败,2,0,0,1,0.00,12,1,1,否,预计筹资结束后15天内,10,6,5,0,0,北京西城区,已经结束
