项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
出版,435718,自庄严堪藏诸家批校本前尘梦影录 荟萃名家批校 宣纸原色影印,已成功,30000,35309,99,3,28.00,29,11,24,否,5,11,项目成功结束后立即发货,北京,已经结束
出版,13146,樱桃老师中国行之亲子讲座,已成功,10000,10016,98,3,25.00,4,3,6,否,0,14,项目成功结束后3天内,北京,已经结束
出版,56134,多角度沙龙众筹,已成功,10000,22610,98,4,10.00,11,3,8,否,4,12,项目成功结束后立即发货,北京,已经结束
出版,18165,《好想开家咖啡馆》献给真正希望拥有自己生活的人们,已成功,3000,4475,98,3,25.00,27,3,44,否,0,77,项目成功结束后5天内,北京,已经结束
出版,436441,《地球使用说明书》：窥探外星人使用地球的正确模式,已成功,10000,11031,98,5,1.00,1,5,10,否,13,4,项目成功结束后15天内,山东 济南,已经结束
出版,415687,《你是一粒微尘，也是一个世界》——我们的存在感来自哪里？我们如何活在这个世界？,已成功,26000,26270,97,3,36.00,6,6,33,否,25,49,项目成功结束后20天内,北京,已经结束
出版,242035,与互联网老兵一起，畅聊《天猫店这样开才赚钱》,已成功,10000,10185,97,5,1.00,4,7,20,否,4,16,项目成功结束后10天内,北京,已经结束
出版,242854,世界首款智能拳套来袭,已成功,50000,65046,94,7,5.00,8,6,35,否,6,52,项目成功结束后90天内,北京,已经结束
出版,18264,《我们的家史》--记录、分享自己家的历史,已成功,100000,100449,92,8,30.00,14,3,8,是,0,29,项目成功结束后30天内,北京,已经结束
出版,368779,《金鱼图谱》：藏一卷孤本，送一份吉庆，过有“鱼”的生活,已成功,30000,34681,92,6,1.00,12,11,19,否,8,28,项目成功结束后30天内,北京,已经结束
出版,2837,《古锁史话》发现中国制造 弘扬传统文化,已成功,30000,30108,91,5,58.00,6,3,10,否,0,7,项目成功结束后30天内,山东 淄博,已经结束
