项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报总类,最低投资额,项目图片数量,项目更新数,评论数,是否制作视频,无私支持数,最低投资支持人数,预计回报发送时间,发起人所在地,项目结束时间
公益,439918,童安公益教育项目Ⅱ期,已成功,30000,30051,239,3,50.00,8,6,4,否,237,0,项目成功结束后立即发货,重庆,已经结束
公益,623458,川农农经协会2017年大学生寒假暖冬支教行,已成功,3800,3900,239,1,50.00,5,1,14,否,233,4,项目成功结束后60天内,NOTFOUND,已经结束
公益,443113,山区留守儿童素质拓展训练营,已成功,30000,30211,238,1,100.00,8,5,26,否,191,47,项目成功结束后立即发货,重庆,已经结束
公益,392767,心系山区留守儿童，暑期支教献爱心,已成功,14000,14099,237,4,1.00,11,5,27,否,95,114,项目成功结束后立即发货,福建 三明,已经结束
公益,615898,“让爱发声·筑梦同行”慈善公益行动,已成功,5000,10869,237,2,50.00,10,1,23,否,175,34,项目成功结束后立即发货,四川 成都,已经结束
公益,439108,为藏区儿童众筹一个6.1蛋糕，守护香格里拉这个家的温度,已成功,6100,6488,236,4,2.00,12,8,17,否,38,90,项目成功结束后30天内,云南 迪庆,已经结束
公益,404275,为高原的孩子送去热水——清华大学材料学院十剑支队，青海玉树州拉布乡支教项目,已成功,21000,21167,235,6,10.00,3,10,30,是,113,83,项目成功结束后立即发货,青海 玉树,已经结束
公益,110023,去北京！——为昆明经开区的孩子众筹一次夏令营,已成功,23600,23654,235,5,20.00,11,8,16,否,34,85,项目成功结束后立即发货,云南 昆明,已经结束
公益,267301,让我们一起“把爱穿上身，让爱传出去！”— 流浪的生命需要更多的关爱！,已成功,5000,5315,233,8,2.00,5,21,43,否,59,157,项目成功结束后15天内,福建 厦门,已经结束
公益,438133,再续前缘——清华大学学生书脊支教团“赤水黔行”支队公益众筹,已成功,12395,13050,232,6,10.00,16,5,12,是,132,32,项目成功结束后立即发货,贵州 遵义,已经结束
公益,424894,【木桶土蜂蜜 2】一起出发，探寻深山崖壁真味道！,已成功,10000,28150,231,3,60.00,41,22,34,否,134,58,项目成功结束后立即发货,甘肃 陇南,已经结束
公益,436876,《憨山大师的一生》，在纷扰中寻找传统与智慧的足迹,已成功,50000,50520,230,5,100.00,23,0,25,是,140,55,项目成功结束后立即发货,浙江 台州,已经结束
