项目类型,项目编号,项目名称,众筹状态,目标金额,实际筹资额,项目支持人数,项目回报种类,最低投资额,项目图片数量,项目进展数,喜欢数,项目结束时间,是否制作视频,最低投资支持人数,预计回报发送时间,"发起人是淘宝还是天猫店铺(描述,服务,物流评价)"
其他,10055830,凌度1296P后视镜安霸A7行车记录仪,项目成功,100000.00,113919.00,381,1,299.00,13,0,1903,2016/01/17,否,381,7,"天猫-4.7,4.7,4.6"
其他,10049111,【恒企教育】2016年会计考证名师助你轻松过关,项目成功,1000.00,7321.20,38,0,0.00,5,0,406,2015/12/01,否,NOTFOUND,NOTFOUND,"淘宝-4.8,4.8,4.8"
其他,10052049,【体验运动 回归自然】横溪石塘人家定向越野大赛,项目成功,30000.00,30108.00,342,4,29.00,9,0,113,2015/12/25,是,75,10,"淘宝-,,"
其他,10049765,三亚海鲜排档诚信管理基金,项目成功,50000.00,402399.00,348739,10,68.00,21,0,928,2015/12/17,否,265,45,"淘宝-5.0,5.0,5.0"
其他,10051792,【防滑链】为冬季出行精心准备  有了它就不怕打滑了,项目成功,30000.00,31126.00,154,5,119.00,23,0,741,2016/01/06,是,29,7,"淘宝-4.8,4.8,4.9"
其他,10055834,【法国红酒】来自赛尔城堡干红葡萄酒酿酒故事,项目成功,50000.00,63643.00,77,8,99.00,46,0,721,2016/01/23,否,26,15,"-4.7,4.7,4.7"
其他,10050830,学尔森 一级消防工程师首考 快速取证 考点精讲,项目成功,1000.00,17770.50,795,6,9.90,14,0,1718,2015/12/20,否,100,1,"-,,"
其他,10043318,全国首款“十届中国国际园林博览会集锦”邮册众筹啦！,项目成功,50000.00,237714.00,384,2,568.00,7,0,78,2015/10/10,否,285,30,"淘宝-,,"
其他,10067678,跟团游什么的就是坑爹！自由行才是王道！！！,项目成功,50000.00,1101501.00,59749,6,9.00,8,1,5572,2016/05/01,否,59525,7,"-,,"
其他,10091233,喝出“清”春，玩出“极”致-中秋定制礼品可以玩的酒,项目成功,50000.00,56760.00,81,5,39.00,31,0,271,2016/09/13,否,5,5,"-4.8,4.8,4.8"
其他,10048863,山东济南长清大学城万众师生齐众筹一家最具梦想的书吧,项目成功,100000.00,102260.00,853,3,88.00,3,0,550,2015/12/12,否,7,30,"淘宝-,,"
其他,10036279,【会计城】学会计去哪儿？会计从业考前点拨千人大讲堂,项目成功,4000.00,5087.60,63,0,0.00,5,0,526,2015/09/20,否,NOTFOUND,NOTFOUND,"淘宝-4.8,4.8,4.8"
其他,10039803,The Ftre 6S——一款来自未来的洗衣机,项目成功,50000.00,239836.00,64,5,3699.00,21,6,2260,2015/09/30,是,44,30,"天猫-4.9,4.9,4.9"
其他,37307,亚朵酒店杭州玉古路店众筹,项目成功,2000000.00,6601321.00,5387,0,0.00,11,0,4128,2015/09/27,否,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,10047566,【古堡婚礼】在最浪漫的捷克布拉格古堡举行婚礼,项目成功,59999.00,65809.60,61,10,19.80,8,0,397,2015/11/14,否,4,1,"淘宝-4.8,4.8,4.8"
其他,10047323,2015年最温暖男声 张慈元《元创同名专辑》首发,项目成功,20000.00,24901.00,145,6,70.00,14,0,45,2015/11/13,是,136,40,"淘宝-,4.6,4.7"
其他,10043323,东软睿道：一元钱听行业大咖讲iOS，疯狂抢座中！,项目成功,1000.00,1179.00,421,3,19.00,2,2,283,2015/11/05,否,4,5,"淘宝-,,"
其他,10029171,当手机遇上面包机：阿里小智互联+wifi云智能,项目成功,20000.00,21344.00,58,3,368.00,22,0,455,2015/07/29,否,59,70,"淘宝-,,"
其他,31644,【乐刻运动】众筹一家属于自己的7x24小时健身房！,项目成功,500000.00,502893.00,107,2,999.00,21,0,893,2015/08/30,否,63,60,"淘宝-,,"
其他,26585,学尔森2015一级建造师快速取证学习法赠百元优惠券,项目成功,1000.00,6493.00,289,9,19.00,1,0,346,2015/07/09,否,9,3,"淘宝-,,"
其他,25879,论中国当下股市,项目成功,5000.00,7500.00,70,2,50.00,1,3,150,2015/06/14,否,29,3,"淘宝-4.6,4.6,4.7"
其他,26125,九元航空众筹航班——青春专机，毕业启航！,项目成功,50000.00,58626.00,2094,0,0.00,5,2,4586,2015/06/19,否,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,24949,中谷华教 二级建造师 考前押题资料 密卷,项目成功,1000.00,7085.50,245,7,39.90,5,0,126,2015/05/30,否,16,1,"淘宝-,,"
其他,23442,山东济南长清大学城，万众师生齐众筹最有逼格的火锅店,项目成功,500000.00,673470.00,10366,0,0.00,12,8,756,2015/07/14,是,NOTFOUND,NOTFOUND,"淘宝-,,"
其他,10042283,建筑八大员直接拿证，要的就是这么简单,项目成功,1000.00,9800.00,10,4,980.00,16,0,1027,2015/10/10,否,10,1,"-,,"
其他,10037030,新款棉拖鞋长啥样你来定,项目成功,5000.00,13011.00,486,20,18.80,28,0,537,2015/08/18,否,1000000,7,"-,,"
