项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
娱乐,15152,一起去迪拜拍电影！,8,1,15,0,1
娱乐,13459,与《仙剑六》共赴纯美之约,6,60,5,0,1
娱乐,15899,到从未被开发的藏地去禅游,3,268,5,2,1
娱乐,12932,一只敢挑战世界冠军的行李箱,6,1,4,6,1
娱乐,15408,男人装辣妹舍身拯救全人类,5,1,4,0,1
娱乐,12442,自由家野奢树屋之森林物语,3,1,20,0,1
娱乐,11687,加入《天才J》 出演第二季,7,1,6,0,1
娱乐,11048,漫画咱北京国安自己的故事,6,1,7,0,1
娱乐,12969,悦宝之爱 助你一生一世,8,1,6,0,1
娱乐,11038,八贝与世界分享中国的好运,4,1,5,2,5
娱乐,11042,与招财童子畅游拉斯维加斯,9,1,15,2,5
娱乐,11756,申晴邀您吹响爱马人的集结号,5,1,10,0,3
娱乐,12740,让爱在线，阿狸宝贝聊天公仔,9,1,4,0,3
娱乐,11582,阿狸护肤品逐梦美国,6,1,3,2,5
娱乐,10995,小囧熊美国之旅，由你支持！,6,1,6,2,5
娱乐,11032,妙先生相约拉斯成就梦想,8,1,3,10,4
娱乐,12790,LOMO，主题蜜月旅行,8,1,13,0,1
娱乐,11296,晴旅：一包一女一路向西,6,1,8,0,1
娱乐,11533,享受京郊原创树屋亲子乐园,6,1,6,1,1
娱乐,12392,单机赵云传-邀你来PK,6,1,2,7,1
娱乐,10587,炮炮兵铁杆粉丝招募计划,5,2,3,0,2
娱乐,9027,我们选最不羁的生肖赞美生活,7,1,8,1,2
娱乐,10914,魔鬼猫占领拉斯维加斯,8,1,7,10,4
娱乐,10961,和阿狸一起实现美国逐梦之旅,6,1,11,2,5
娱乐,9588,再次奔向你的王思远,7,1,6,0,1
娱乐,10892,天韵之声，与尊相随,7,1,6,0,1
娱乐,10902,《小鸡彩虹》北美温暖之旅,6,1,9,10,4
