项目类型,项目编号,项目名称,项目回报总类,最低投资额,项目图片数量,发起人支持的项目数,发起人历史发起的项目
设计,68729,一款颠覆传统坐姿的神奇椅子,8,30,6,0,1
设计,68945,一双可以登山的定制皮鞋,10,999,15,5,5
设计,69006,百变涂色kitty毛绒玩具,5,38,19,0,1
设计,69015,打底T恤怎样能令人过目不忘,13,68,24,0,4
设计,68931,豆豆儿童陪伴教育机器人,8,999,18,1,1
设计,69017,拯救和传承尼泊尔唐卡技艺,37,800,22,3,22
设计,68806,凯蒂猫生日纪念版移动电源,6,69,21,0,1
设计,68986,景德镇纯手工手绘陶瓷茶具,11,299,30,0,1
设计,68921,好箱子，好用，轻而不贵,12,399,19,0,1
设计,68837,每个人都该有件像样的羊毛衫,14,418,33,0,1
设计,68696,启蒙号自学习陪护机器人,10,666,30,0,1
设计,68805,【顺历】2017黄历记事本,6,26,30,5,1
设计,68466,月白宋瓷奢华唐锦·茶器套装,7,129,40,0,4
设计,68551,一件功能强大的户外风衣,4,229,18,0,1
设计,68584,金质生活系列陶瓷刀,10,19,16,0,1
设计,68428,追本溯源，一条跨界的手串,10,89,8,0,11
设计,68670,天然榉木，身体的婴儿级呵护,6,39,16,0,1
设计,68622,航天大典年，徽宝永铭时,6,680,20,1,1
设计,68421,会变身的鹅绒被，寒冬必被,9,399,18,0,1
设计,68656,Savile猫头鹰安全座椅,10,999,9,0,1
设计,68618,DR HOS碳纤维腰背套装,11,129,28,0,5
设计,68488,波菲德 都市休闲商务双肩包,5,199,6,0,1
设计,68364,INXDO五指机能袜,6,99,8,1,1
设计,68602,一款久坐不累的坐垫神器,8,89,21,0,1
设计,68346,YesMe让少女拥有好身姿,8,158,10,1,1
设计,68664,巴菲玛丝永久纳米杀菌内裤,7,198,9,117,1
设计,68518,淳爱铜纤维抗菌保暖打底裤,9,129,24,16,1
设计,68619,吉吉猫 有颜值的白领吃货包,13,199,31,0,1
设计,68316,迪士尼婴儿寝具套组,6,239,20,0,2
设计,68185,越吸越紧的硅胶魔法吸盘,7,66,36,0,2
设计,68293,嘟嘟王国AR拼音卡牌,6,99,25,1,1
设计,68265,蓝极 防霾&训练双效面罩,8,48,20,0,1
设计,68221,猫王小王子OTR 音箱,17,329,15,0,2
设计,68258,新式工夫茶懒人专用轻便茶具,9,89,23,0,2
设计,68186,靠得住的高颜值旅行箱,8,309,25,123,2
设计,68164,天宫秘策•韩方暖宫坐熏护垫,7,59,13,7,1
设计,68311,南山匠人·生肖猴壶,11,399,7,0,2
设计,68104,感恩萨塔恩安全座椅众筹定制,8,899,10,0,1
设计,68244,猫人防静电打底内衣,11,129,25,5,2
设计,68062,propet波派智能枕,10,299,14,1,1
设计,68251,全家快乐沐浴的暖心套装,5,99,11,1,1
设计,68134,坚果宝贝™儿童防过敏枕,8,199,8,0,2
设计,68247,【野兽】三剑客手工钢笔,9,178,7,0,2
设计,68087,匠心之作—白蜡木素意禅心椅,7,89,8,3,1
设计,67921,三年，一把竹伞的复兴之旅,7,99,8,0,3
设计,68021,智能61键儿童数码电子钢琴,6,838,9,0,1
设计,67987,宜兴紫砂陶泥急须壶全手工制,13,299,16,0,5
设计,67817,Yifold儿童安全座椅,7,189,12,0,1
设计,67801,宝宝成长纪念册,5,108,23,0,1
设计,67851,一款神秘的腕表-UFO腕表,7,1399,25,0,1
设计,67798,熊猫叶天然草本牙膏,9,198,18,0,1
设计,67819,漫威儿童家具来袭,13,2499,27,0,1
设计,67872,微波加热保温盘,6,118,10,0,1
设计,67822,深度睡眠专家，硅藻深眠枕,7,169,17,31,1
设计,68059,全物理抗菌防螨95%鹅绒被,9,1299,25,0,2
设计,67976,埃法远红外智能暖脚宝,14,199,24,0,1
设计,67945,2017未读月相历礼盒套装,6,48,10,4,3
设计,68052,小鸡叫叫，魔法幼教机,9,9,17,0,2
设计,67989,爱办公座椅 满意好“坐”品,13,419,23,3,1
设计,68053,超级飞侠可乐球云音箱,8,99,19,4,2
设计,67353,长绒棉打底背心 自带气场,7,48,15,0,4
设计,67338,超疏水防污免烫长袖衬衫,10,128,28,0,3
设计,67373,威古氏 近视·变色眼镜,3,599,33,1,1
设计,67577,美丽策，颜值爆增神器,9,1999,21,13,1
设计,67166,茅十八·猫王小王子特别版,6,449,18,0,2
设计,67160,多功能“壹盏灯”升级版,7,149,5,0,2
设计,67704,欧治子 纯手工锻打文武刀,9,88,36,2,1
设计,67793,《星际迷航》真空保温杯,7,69,20,0,1
设计,67644,创新如意旅行紫砂茶具套装,11,599,16,0,1
设计,67560,本初子午 雾霾山创意瓷器,9,99,10,0,2
设计,67663,益卡思儿童成长学习桌,7,899,26,0,1
设计,67691,三彩玉石加热坐垫,8,288,9,0,1
设计,67676,梅兰竹菊—致敬传统手工业,8,238,10,27,1
设计,67662,vieco绿糖植物奶瓶,5,136,20,0,1
设计,67547,一口好锅的煅造传奇,13,199,21,2,1
设计,67431,尼泊尔纯手工青铜佛像,34,600,40,0,1
设计,66971,PB铝镁合金 可定制旅行箱,9,899,27,0,1
设计,67139,奇鹭GPS安全智能定位童鞋,6,99,35,0,1
设计,66961,从你的全世界路过服饰产品,6,46,15,0,2
设计,66956,一款来自德国的五星级鹅绒被,14,2988,24,0,3
设计,67092,优之爱智能真空保鲜吸奶器,8,358,19,1,1
设计,66870,真丝塑身衣还原你的性感身材,5,159,11,0,1
设计,66936,白塔抄经卷—佛舍利旁落叶制,6,99,8,0,4
设计,67141,艾新羽式高尔夫,7,699,17,2,1
设计,66918,果伴有机除菌保鲜器,10,59,28,2,1
设计,67066,一件不扎人的羊毛T,5,439,16,0,1
设计,66998,多功能无线充电手拿包,6,259,27,0,1
设计,66916,匠心制皂 比利时经典小白驴,7,109,19,0,1
设计,66863,一款激发你奋斗潜能的商务包,10,268,14,7,1
设计,66955,楚和听香携九色鹿归来,12,399,42,0,1
设计,66855,旋转木马减震防丢儿童自行车,10,35,15,0,1
设计,67074,智能USB快充变形插排,16,49,21,1,2
设计,66745,星舰梦想杯,8,198,12,0,1
设计,67149,一件四季可穿的纯色T恤,5,119,12,2,2
设计,66769,防水抗污 经典百搭小白鞋,10,198,58,0,3
设计,66484,手造之美-中国印,6,158,16,0,1
设计,66593,向经典紫砂壶致敬，福禄西施,5,69,11,0,2
设计,66533,虔竹良品抑菌本色竹纤卫生纸,7,79,15,2,1
设计,66595,珍有良品十二生肖原创插画,7,68,17,0,4
设计,66564,naivee星座项链,7,299,11,1,1
设计,66766,笔 · 寄：红木签字笔,6,198,11,0,1
设计,66497,一件不想脱的内衣,8,79,26,2,4
设计,66807,英雄钻上施华洛世奇,11,348,8,0,2
设计,66522,企鹅手绣经典系列-刺绣书,8,214,11,4,3
