项目类型,项目编号,话题数,关注数
科技,64657,100,(485)
科技,64654,264,(1千)
科技,64653,92,(1千)
科技,64645,48,(2千)
科技,64644,256,(1千)
科技,64618,259,(779)
科技,64616,74,(458)
科技,64614,48,(204)
科技,64606,48,(514)
科技,64588,39,(241)
科技,64586,147,(246)
科技,64582,58,(1千)
科技,64570,367,(4千)
科技,64569,267,(2千)
科技,64568,56,(2千)
科技,64560,61,(1万)
科技,64546,858,(6千)
科技,64542,432,(1千)
科技,64541,43,(244)
科技,64530,26,(423)
科技,64533,568,(1千)
科技,64524,68,(2万)
科技,64506,125,(556)
科技,64486,118,(421)
科技,64355,73,(53)
科技,64468,2637,(1万)
科技,64227,12,(60)
科技,64226,96,(1千)
科技,64225,99,(1千)
科技,64053,121,(2千)
科技,64045,160,(1万)
科技,64042,58,(1千)
科技,63973,255,(968)
科技,63967,31,(162)
科技,63947,72,(1千)
科技,63897,74,(541)
科技,63933,52,(3千)
科技,63874,54,(503)
科技,63872,154,(833)
科技,63852,32,(1千)
科技,63802,608,(3千)
科技,63795,113,(523)
科技,63787,36,(417)
科技,63759,94,(712)
科技,63760,96,(1千)
科技,63733,55,(1千)
科技,63680,34,(1千)
科技,63672,944,(3千)
科技,63671,122,(1千)
科技,63665,43,(239)
科技,63623,51,(419)
科技,63656,1185,(3千)
科技,63609,450,(7千)
科技,63584,292,(2千)
科技,63526,48,(353)
科技,63513,119,(3千)
科技,63507,84,(1千)
科技,63486,88,(4千)
科技,63438,29,(213)
科技,63363,38,(2千)
科技,63396,35,(481)
科技,63229,31,(1千)
科技,63108,237,(1千)
科技,63035,110,(1千)
科技,63032,84,(2千)
科技,62942,48,(299)
科技,62920,74,(771)
科技,62915,24,(1千)
科技,62773,123,(242)
科技,62690,118,(1千)
科技,62870,383,(7千)
科技,62834,18,(61)
科技,62682,111,(1千)
科技,62612,78,(1千)
科技,62648,660,(6千)
科技,62551,371,(3千)
科技,62577,107,(1千)
科技,62605,109,(1千)
科技,62481,163,(994)
科技,62448,961,(1万)
科技,62076,697,(1万)
科技,62074,161,(5千)
科技,62322,120,(5千)
科技,62021,76,(1千)
科技,62004,95,(523)
科技,61964,99,(1千)
科技,61909,275,(1千)
科技,61906,29,(171)
科技,61999,523,(2万)
科技,61851,45,(434)
科技,61819,28,(200)
科技,61801,55,(303)
科技,61790,274,(2千)
科技,61774,284,(1千)
科技,61773,146,(546)
科技,61721,77,(1千)
科技,61732,1166,(2万)
科技,61698,134,(1万)
科技,61662,99,(1万)
科技,61605,747,(2千)
科技,61608,56,(249)
科技,61603,1340,(3千)
科技,61550,21,(266)
科技,61492,52,(395)
科技,61479,315,(2千)
科技,61488,4,(34)
科技,61434,193,(1千)
科技,61355,185,(2千)
科技,61341,28,(1万)
科技,61179,219,(510)
科技,61151,119,(748)
科技,61019,167,(3千)
科技,61006,63,(223)
科技,60946,1194,(2万)
科技,60943,417,(1千)
科技,60861,298,(2千)
科技,60934,174,(814)
科技,60771,132,(1千)
科技,60830,207,(1千)
科技,60638,103,(960)
科技,60592,25,(160)
科技,60536,190,(987)
科技,60462,24,(1千)
科技,60380,30,(185)
科技,60376,105,(1千)
科技,60348,18,(1千)
科技,60283,28,(208)
科技,60249,237,(6千)
